Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,1.0,46.0,Suburbann,68.0,,,Gas,False,True,2024-02-04,Yellow,Stefan,False,Good,Good,Excellent,Good,13.0,1.65,,J9DM Wood PDMC1 Window,96.41513
1.0,1.0,88.0,Suburbann,20.0,None,True,Electric,False,True,2024-01-31,Green,Roman,False,Good,Good,Good,Excellent,6.0,3.06,,Aluminum 9XWSANM Window,78.5687
,1.0,122.0,Urban,40.0,None,,Gas,False,True,2023-08-30,Green,Natalie,False,Good,Good,Poor,Good,6.0,3.12,,Aluminum OT6ZBRV Window,184.70391
,2.0,112.0,Rural,69.0,None,False,Electricity,True,True,2023-03-18,Yellow,Denis,False,Excellent,Excellent,Excellent,Good,6.0,4.27,67.2,ZUOV7S4 Aluminum I49HRNC Window,246.09376
1.0,,42.0,,16.0,Excellent,False,Oil Heating,False,False,2023-07-26,Gray,Roman,False,Good,Excellent,Excellent,Poor,30.0,1.41,,MD1VKS Steel Y9DOV Window,241.27139
2.0,1.0,92.0,Urban,42.0,None,False,Gas,False,False,2021-07-17,Yellow,Maria,False,Poor,Poor,Poor,Poor,6.0,4.57,,F4JDH Wood KGJ Window,140.79436
,1.0,110.0,Rural,63.0,None,True,Oil Heating,False,True,2022-07-04,Yellow,Maria,False,Good,Excellent,Poor,Poor,6.0,1.35,174.4,FCP Aluminum 6IHNZ0D,259.71566
5.0,5.0,130.0,Rural,15.0,,False,Electric,False,False,2024-01-07,Green,Florian,False,Poor,Good,Excellent,Excellent,30.0,2.47,78.0,GXLX Steel O1KH,452.49783
,,62.0,Suburbann,43.0,None,False,Electric,True,True,2022-02-11,Green,Laura,False,Good,Good,Poor,Good,6.0,2.02,37.2,VFA09 Aluminum OIKR1 Window,60.23668
,1.0,88.0,Urban,52.0,None,False,Gas,True,True,2023-06-21,Gray,Denis,False,Excellent,Good,Good,Good,6.0,2.95,88.0,GSKZAX Wood JKN Window,206.43183
1.0,1.0,147.0,Rural,66.0,Good,False,Electricity,False,True,2020-12-20,Gray,Maria,False,Good,Good,Poor,Excellent,18.0,1.42,,PKGQ Steel YQT9,404.10064
,,20.0,,25.0,,False,Gas,False,True,2023-08-26,Green,Denis,False,Good,Excellent,Poor,Good,6.0,2.43,,OX4 Aluminum GOLKP Window,38.2602
,,95.0,,,None,False,Electricity,False,True,2020-01-26,Yellow,Stefan,False,Good,Good,Poor,Good,6.0,4.36,57.0,Wood BHHQDK,215.01675
,1.0,74.0,,55.0,None,True,Electric,True,False,2021-03-29,Yellow,Theresa,False,Good,Poor,Good,Excellent,6.0,4.28,,N3HP Steel TU0NMX Window,3456.1926
1.0,1.0,5871.0,,,Good,True,Gas,False,True,2023-09-03,White,Johanna,False,Excellent,Poor,Poor,Good,18.0,2.31,,RH0O0UX Aluminum P92,51.50734
1.0,1.0,38.0,Rural,,Poor,False,Gas,True,False,2021-03-30,Gray,Natalie,False,Excellent,Good,Excellent,Poor,13.0,2.9,39.0,Wood GUXL,177.82663
,1.0,65.0,Rural,57.0,,True,Gas,False,True,2023-12-24,Yellow,,False,Good,Good,Excellent,Good,6.0,4.26,64.0,7RV678H Aluminum Q6BQA Window,158.26072
2.0,,89.0,Suburban,59.0,Poor,False,Oil,True,True,2022-11-15,Yellow,,False,Excellent,Good,Excellent,Good,13.0,3.15,142.4,Aluminum 6AN4Z Window,125.94835
1.0,,78.0,Suburbann,15.0,Excellent,False,Gas,False,True,2023-05-14,Gray,Florian,False,Good,Good,Good,Good,30.0,2.73,76.0,5YS Aluminum B1OBEF,120.0042
3.0,2.0,133.0,Rural,24.0,None,False,Oil Heating,True,False,2023-07-23,Green,Theresa,False,Excellent,Poor,Excellent,Poor,6.0,3.25,,Steel 26Y9XTP,437.785
1.0,,53.0,Suburban,29.0,Poor,False,Gas,True,True,2023-08-13,Gray,Laura,False,Poor,Poor,Good,Excellent,13.0,3.06,,XOM Steel VYWSU7 Window,140.10877
